,Address,Latitude,Longitude,X,Y,Distance from center
0,"31, Studley Road, Ivanhoe, City of Banyule, Victoria, 3079, Australia",-37.76348939674846,145.05025700868936,4976681.116219561,-14419428.424977692,11954.915307102765
1,"Jellicoe Street, Ivanhoe, City of Banyule, Victoria, 3079, Australia",-37.75841284741935,145.0415021076034,4977881.116219561,-14419428.424977692,11649.89270336856
2,"Wimpole Crescent, Bellfield, City of Banyule, Victoria, 3079, Australia",-37.75333621797289,145.03274940430748,4979081.116219561,-14419428.424977692,11462.983904725681
3,"59, Bell Street, Preston, City of Darebin, Victoria, 3072, Australia",-37.74825950888642,145.023998898248,4980281.116219561,-14419428.424977692,11400.0
4,"O'Keefe Street, Preston, City of Darebin, Victoria, 3072, Australia",-37.74318272063705,145.01525058887145,4981481.116219561,-14419428.424977692,11462.983904725681
5,"246, Murray Road, Preston, City of Darebin, Victoria, 3072, Australia",-37.73810585370163,145.00650447562435,4982681.116219561,-14419428.424977692,11649.89270336856
6,"May Street, Preston, City of Darebin, Victoria, 3072, Australia",-37.73302890855676,144.99776055795317,4983881.116219561,-14419428.424977692,11954.915307102765
7,"The Boulevard, Ivanhoe East, City of Banyule, Victoria, 3079, Australia",-37.77805667185209,145.0569972777895,4974881.116219561,-14418228.424977692,11541.230437002807
8,"Locksley Road, Ivanhoe, City of Banyule, Victoria, 3079, Australia",-37.772978979304455,145.04823941980712,4976081.116219561,-14418228.424977692,11030.865786510141
9,"30, Livingstone Street, Ivanhoe, City of Banyule, Victoria, 3079, Australia",-37.76790120607429,145.039483760957,4977281.116219561,-14418228.424977692,10632.02708800161
10,"North Eastern Rehabilitation Centre, 134-142, Ford Street, Ivanhoe, City of Banyule, Victoria, 3079, Australia",-37.76282335263942,145.03073030068512,4978481.116219561,-14418228.424977692,10357.60590097924
11,"Station Street, Thornbury, City of Darebin, Victoria, 3078, Australia",-37.75774541947738,145.02197903843745,4979681.116219561,-14418228.424977692,10217.631819555842
12,"Sussex Street, Preston, City of Darebin, Victoria, 3072, Australia",-37.75266740706546,145.01322997366006,4980881.116219561,-14418228.424977692,10217.631819555842
13,"129, Plenty Road, Preston, City of Darebin, Victoria, 3072, Australia",-37.747589315880695,145.00448310579895,4982081.116219561,-14418228.424977692,10357.60590097924
14,"Staff Parking, Leicester Street, Preston, City of Darebin, Victoria, 3072, Australia",-37.74251114639988,144.9957384343001,4983281.116219561,-14418228.424977692,10632.02708800161
15,"505, Murray Road, Coburg, City of Darebin, Victoria, 3072, Australia",-37.73743289909958,144.98699595860964,4984481.116219561,-14418228.424977692,11030.865786510141
16,"Jackson Reserve, Whitton Parade, Coburg North, City of Moreland, Victoria, 3058, Australia",-37.732354574456096,144.97825567817353,4985681.116219561,-14418228.424977692,11541.230437002807
17,"Walbundry Drive, Kew East, City of Boroondara, Victoria, 3102, Australia",-37.792626627709495,145.063739273956,4973081.116219561,-14417028.424977692,11525.623627379127
18,"Kew Golf Club, 120, Belford Road, Kew East, City of Boroondara, Victoria, 3102, Australia",-37.78754779249921,145.05497845684823,4974281.116219561,-14417028.424977692,10816.653826391968
19,"Green Acres Golf Club, 51, Elm Grove, Kew East, City of Boroondara, Victoria, 3102, Australia",-37.78246887604062,145.0462198402163,4975481.116219561,-14417028.424977692,10200.0
20,"Heidelberg Road, Ivanhoe, City of Banyule, Victoria, 3079, Australia",-37.77738987881195,145.03746342350578,4976681.116219561,-14417028.424977692,9693.296652842108
21,"Ross Street, Alphington, City of Darebin, Victoria, 3078, Australia",-37.772310801291184,145.02870920616215,4977881.116219561,-14417028.424977692,9314.504817756015
22,"Station Street, Fairfield, City of Darebin, Victoria, 3078, Australia",-37.7672316439561,145.019957187631,4979081.116219561,-14417028.424977692,9079.647570252933
23,"Speight Street, Thornbury, City of Darebin, Victoria, 3071, Australia",-37.76215240728415,145.0112073673579,4980281.116219561,-14417028.424977692,9000.0
24,"Rossmoyne Street, Thornbury, City of Darebin, Victoria, 3071, Australia",-37.75707309175257,145.00245974478838,4981481.116219561,-14417028.424977692,9079.647570252933
25,"31, Miller Street, Preston, City of Darebin, Victoria, 3071, Australia",-37.75199369783837,144.99371431936805,4982681.116219561,-14417028.424977692,9314.504817756015
26,"Kendall Street, Preston, City of Darebin, Victoria, 3071, Australia",-37.74691422601829,144.98497109054242,4983881.116219561,-14417028.424977692,9693.296652842108
27,"Armstead Avenue, Coburg, City of Moreland, Victoria, 3058, Australia",-37.74183467676882,144.97623005775708,4985081.116219561,-14417028.424977692,10200.0
28,"Pentridge Prison Main Gate, Champ Street, Coburg, City of Moreland, Victoria, 3058, Australia",-37.736755050566224,144.96749122045762,4986281.116219561,-14417028.424977692,10816.653826391968
29,"Mills Cafe, Dawson Street, Coburg North, City of Moreland, Victoria, 3058, Australia",-37.73167534788646,144.95875457808964,4987481.116219561,-14417028.424977692,11525.623627379127
30,"Metung Street, Balwyn, City of Boroondara, Victoria, 3104, Australia",-37.80719926362163,145.0704829995136,4971281.116219561,-14415828.424977692,11909.659944767525
